Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
DISTRIMARKS DE COLOMBIA SAS,0.013992807,0,0.006914,0.02449,0.00855,0.775933,1.222852,0
DISTRISAGI SAS,-0.027447856,0,-0.015532,0.1577,0.164185,-0.295699,0.159614,0
DISTRIYA LTDA,0.003471777,0,0.000759,0.105918,0.11734,0.048699,0.168416,0
DOTACIONES HERMANOS LONDOÑO GOMEZ SAS BIC,0.099548047,0.001686,0.067221,0.165029,0.091879,0,2.754376,0
DRINKS DE COLOMBIA SAS,0.14499,0.019329,0.080778,0.087058,0.185098,1.60991,0.934228,0
DUPLA LEGAL SAS,0.183479994,0.048302,0.080448,0.465437,0.032363,2.034345,1.391038,0
EL ARQUITECTO MATERIALES PARA CONSTRUCCION S.A.,0.003123784,0,0.000237,0.097161,0.070513,0.031629,0.260761,0
EL CORTE DEL SUR PELUQUERIA SAS,0.062576683,0,0.024074,0.137915,0.150268,0.503467,0.626346,0
ELASTOMEROS Y PLASTICOS CONTRERAS Y DE CONTRERAS LTDA,0.133263601,0.018274,0.069836,0.211661,0.101676,1.832179,2.590166,0
EMPRESA DE SERVICIO SAN MARCEL SAS,0.013322332,0,0.007526,0.017935,0.029326,0,2.806155,0
ENERGYZA DEL CARIBE SAS,0.10625743,0.011542,0.061565,0.348933,0.082319,1.116006,2.202213,0
EPAYCO.COM SAS,-0.023631722,0.020621,-0.022879,0.137782,0.024504,-0.041508,0.06425,0
ERGOS COLLECTION SAS,-0.045333446,0.006353,0.086555,0.029744,0.175864,-0.573838,1.143711,0
ESTACION DE SERVICIO CENTENARIO SA,0.008840432,0.002544,0.005217,0.022023,0.039082,0,3.388693,0
EVENTOS Y DESARROLLO SAS,0.074557063,0,0.044504,0.330833,0.203265,2.638218,0.63289,0
EXSIS DIGITAL SAS,0.093187883,0,0.057117,0.112465,0.000559,1.012787,0.537573,0
FABRICACION Y DISTRIBUCION MARINA  ABRICACION Y DISTRIBUCION MARINA,0.041486573,0.005722,0.022711,0.09478,0.330649,0.336133,0.923933,0
FABRIFARMA SAS,-0.008527547,0.02235,-0.030859,0.217842,0.130367,-0.03007,1.507609,0
FANTASIA ELECTRONICA S.A.S.,0.055730941,0.028922,0.016649,0.403227,0.269497,0.431415,1.050975,0
FARO TRILLADORA DE CAFE SAS,0.009708213,0,0.009708,0.055202,0.008273,0.086883,0.29687,0
FELDA S.A.,0.024856488,0.001609,0.022353,0.109224,0.028465,2.227692,3.109545,0
FERCO SAS FERRETERIA Y CONSTRUCCION,0.054200993,0.021562,0.016604,0.079422,0.061482,0.307225,1.366938,0
FERRETERIA EL HIDRANTE S.A.,0.190058059,0.00069,0.112529,0.080705,0.012416,0,3.870765,0
FERROELECTRICOS MEDELLIN SAS,0.044393418,0.01148,0.021523,0.117263,0.054635,0.482799,2.102969,0
FRENIRODAMIENTOS LTDA.|,0.046911938,0,0.030493,0.261051,0.210079,0,1.397868,0
GADIER SISTEMAS PROFESIONALES DE INFORMACION LTDA,0.069932419,0.012475,0.036983,0.15031,0.031634,1.025776,2.564948,0
GALILEO INSTRUMENTS SAS,0.188995906,0,0.122847,0.360545,0.14141,2.28946,1.186607,0
GAS VEHICULAR COMPRIMIDO DE COLOMBIA S A S LA CUAL TAMBIEN SE PODRA DENOMINAR G V C TORO GAS S A S,0.007518902,0.005024,0.002498,0.020185,0.061818,0.980743,2.798427,0
GEOCOL CONSULTORES S.A.,0.071325207,0.029339,0.025775,0.236613,0.058476,0.588879,1.052903,0
GIRALDO & SALAZAR ARQUITECTOS LTDA,0.04282683,0,0.020787,0.160946,0.034484,0.978948,0.740315,0
GLOBAL INDUSTRIAL SAS,0.090935263,0,0.059108,0.087896,0.000795,2.708169,1.941048,0
GPRS DISTRIBUCIONES SAS,-0.01302891,0.001928,-0.002177,0.005457,0.037789,0,0.117028,0
GRUPALCO S.A.S.,0.025231461,0,0.018105,0.044834,0.037131,0.781243,0.708747,0
GRUPO BOLIVARIANA SAS,0.094625661,0,0.094626,0.08005,0.096893,0,4.237083,0
GRUPO INDUSTRIAL EL TREBOL SAS,0.052159332,0,0.019089,0.368741,0.040641,2.041386,2.590737,0
GRUPO MANSION SAS,0.039392933,0.011472,0.011181,0.07851,0.201086,0,0.47349,0
GRUPO SAMSARA SAS,0.041002012,0,0.020444,0.105037,0.096012,0.713494,1.39142,0
HESEGO INGENIERIA SAS,0.153588785,0.030492,0.084147,0.191464,0.037884,0.846714,0.667142,0
HEXXA SAS,0.088850556,0.008334,0.090951,0.006108,0.004293,0.046827,3.605758,0
HIGIELECTRONIX SAS,0.1215816,0.055793,0.053022,0.131242,0.070345,1.105739,1.034131,0
HORTIFRESCO VILLA LEOVI SAS,0.020468332,0,0.012204,0.060503,0.107254,0,0.562177,0
IES INGENIEROS SAS,0.124629187,0.026141,0.063309,0.348623,0.030647,1.664766,1.224745,0
IMPORTADORA ANDINA DE REPUESTOS SAS,0.142122247,0,0.090643,0.125676,0.338119,0,0.612683,0
IMPORTADORA GRAN ANDINA SAS,-0.041039511,0,-0.04104,0.153333,0.199516,-0.311056,2.221277,0
INCOMELEC SAS,0.007700608,0,0.007701,0.539731,0.136824,0,0.546642,0
INDUSTRIA DE ALIMENTOS TROPICAL CHIPS SAS,0.075998469,0.050482,0.007317,0.327451,0.083054,0.129181,0.21129,0
INDUSTRIA THE FANCY CAKE LTDA,0.041126575,0.035858,0.016714,0.021597,0.165574,0.980645,1.666528,0
INDUSTRIAS CENTRALES DEL ACERO S.A. INDUACERO S.A.,0.229044707,0.003424,0.109349,0.550946,0.066588,0,2.126673,0
INFORMACION Y TECNOLOGIA SAS,0.026603984,0,0.002452,0.104729,0.047416,0.433627,2.191651,0
INGENIERIA E INVERSIONES INDUSTRIALES SAS,0.073375645,0,0.047805,0.152801,0.052368,0.290985,0.483324,0
INGENIERIA Y TELECOMUNICACIONES SAS ,0.114695475,0.048896,0.039339,0.482362,0.069147,0.550519,0.813226,0
INSTRUIMOS S.A.S,-0.0346937,0,-0.04639,0.073253,0.055123,-0.048591,-0.258399,0
INTERLIFT SAS,0.086315965,0.014037,0.038006,0.311268,0.061716,1.680703,0.128694,0
INTRAMEDICA SOCIEDAD POR ACCIONES SIMPLIFICADA,0.166311118,0.005024,0.102166,0.299509,0.161664,0,1.214074,0
INTRICON SA,0.080980736,0.015865,0.049428,0.438299,0.001583,0.320358,0.910286,0
INVERAVES NORTE SAS,0.039686486,0.00467,0.001917,0.038692,0,0,0.369543,0
INVERSIONES AGROPECARIAS CATYK SAS,0.065293664,0.007947,0.053323,0,0.010425,0,2.452939,0
INVERSIONES AGROPECUARIAS ATENKORA SAS,0.037278543,0.017488,0.007964,0.061105,0.04063,0.481129,1.025316,0
INVERSIONES ARZUAGA ARZUAGA & CIA S. EN C.,0.049767841,0,0.036044,0.073823,0.276403,0,1.54801,0
INVERSIONES BUITRAGO MONTOYA SAS,0.016107987,0.013338,-0.037278,0.017393,0.17698,0.020786,1.227969,0
INVERSIONES DIGOMAR SAS,0.009108064,0,0.004295,0.023578,0.018482,1.913155,0.623114,0
INVERSIONES FERROCARRIL SAS,0.076133865,0.004915,0.035502,0.007225,0.059126,1.359144,2.943401,0
INVERSIONES HGH SA,0.031467697,0.002296,0.01866,0.010533,0.022106,0,2.326842,0
